gene_0001	seripauperin PAU8
gene_0002	hypothetical protein
gene_0003	putative permease SEO1
gene_0004	hypothetical protein
gene_0005	hypothetical protein
gene_0006	Tda8p
gene_0007	hypothetical protein
gene_0008	hypothetical protein
gene_0009	flocculin FLO9
gene_0010	glutamate dehydrogenase (NADP(+)) GDH3
gene_0011	putative dehydrogenase BDH2
gene_0012	(R,R)-butanediol dehydrogenase
gene_0013	Ecm1p
gene_0014	calnexin
gene_0015	Gpb2p
gene_0016	ubiquitin-protein transferase activating protein PEX22
gene_0017	acetate--CoA ligase 1
gene_0018	flavin adenine dinucleotide transporter FLC2
gene_0019	oleate-activated transcription factor OAF1
gene_0020	protein AIM2
gene_0021	ERMES complex Ca(2+)-binding regulatory GTPase GEM1
gene_0022	gamma-tubulin complex subunit SPC72
gene_0023	Bol3p
gene_0024	Bol1p
gene_0025	glycine decarboxylase subunit H
gene_0026	RNA-processing protein PTA1
gene_0027	Erv46p
gene_0028	Rho family guanine nucleotide exchange factor CDC24
gene_0029	cyclin CLN3
gene_0030	holocytochrome c synthase CYC3
gene_0031	pyruvate kinase CDC19
gene_0032	hypothetical protein
gene_0033	hypothetical protein
gene_0034	GTP-binding protein RBG1
gene_0035	translation initiation factor eIF5B
gene_0036	MIND complex subunit MTW1
gene_0037	Fun19p
gene_0038	RNA-binding protein POP5
gene_0039	mRNA splicing protein PRP45
gene_0040	protein phosphatase regulator GIP4
gene_0041	SNAP receptor SNC1
gene_0042	myosin 4
gene_0043	Frt2p
gene_0044	DNA-binding protein SAW1
gene_0045	aminophospholipid-translocating P4-type ATPase DRS2
gene_0047	ribosome biosynthesis protein MAK16
gene_0048	mitotic regulator LTE1
gene_0049	dolichyl-phosphate-mannose-protein mannosyltransferase PMT2
gene_0050	nucleoside transmembrane transporter FUN26
gene_0051	CCR4-NOT core exoribonuclease subunit CCR4
gene_0052	Ats1p
gene_0053	DNA-dependent ATPase FUN30
gene_0054	Lds1p
gene_0055	serine/threonine protein kinase PSK1
gene_0056	protein phosphatase 2A structural subunit TPD3
gene_0057	bifunctional N-glycosylase/AP lyase NTG1
gene_0058	syntaxin
gene_0059	Rpd3L histone deacetylase complex subunit DEP1
gene_0060	cystathionine gamma-lyase CYS3
gene_0061	Swc3p
gene_0062	Mdm10p
gene_0063	Nem1-Spo7 phosphatase regulatory subunit SPO7
gene_0064	Fun14p
gene_0065	Erp2p
