gene_id	batch_1	batch_2	batch_3	chemostat_1	chemostat_2	chemostat_3
gene_0001	0	2	6	0	0	1
gene_0002	0	0	0	0	0	0
gene_0003	0	0	0	0	0	0
gene_0004	0	0	0	0	0	0
gene_0005	2	8	10	6	7	18
gene_0006	0	0	0	0	0	0
gene_0007	0	0	0	0	0	0
gene_0008	0	0	0	0	0	0
gene_0009	32	37	33	43	63	84
gene_0010	65	82	59	738	922	1109
gene_0011	119	115	89	619	876	1059
gene_0012	1155	1761	1328	995	1041	1293
gene_0013	319	456	312	130	211	236
gene_0014	282	426	272	176	171	209
gene_0015	305	420	325	395	545	636
gene_0016	45	54	52	83	84	109
gene_0017	121	134	94	9623	11392	13384
gene_0018	1032	1113	750	887	943	1247
gene_0019	309	411	269	254	319	407
gene_0020	395	452	335	420	632	715
gene_0021	194	247	176	246	257	323
gene_0022	136	198	134	121	145	175
gene_0023	148	192	127	141	163	183
gene_0024	100	176	105	170	186	289
gene_0025	1437	1823	1471	723	667	930
gene_0026	386	555	409	325	364	462
gene_0027	1548	2178	1512	725	721	1079
gene_0028	402	598	441	288	321	423
gene_0029	450	622	453	248	296	290
gene_0030	397	434	337	298	324	506
gene_0031	26880	39490	29838	8110	13255	16628
gene_0032	10	10	6	3	2	7
gene_0033	70	80	54	49	63	80
gene_0034	624	869	664	291	299	388
gene_0035	2684	4247	3190	1458	1722	2165
gene_0036	91	127	88	79	87	124
gene_0037	132	167	121	341	465	548
gene_0038	169	246	164	60	75	120
gene_0039	114	154	126	185	207	256
gene_0040	257	281	223	182	212	250
gene_0041	155	199	126	227	280	404
gene_0042	914	1279	949	342	412	525
gene_0043	52	71	40	75	74	105
gene_0044	115	148	112	178	208	279
gene_0045	610	889	599	323	404	541
gene_0047	834	1104	866	306	416	491
gene_0048	243	341	221	146	185	244
gene_0049	2534	3484	2510	808	860	1098
gene_0050	319	475	327	220	223	267
gene_0051	554	772	582	417	437	521
gene_0052	204	290	184	137	128	187
gene_0053	616	985	750	282	342	489
gene_0054	7	2	5	9	16	33
gene_0055	445	625	461	583	775	952
gene_0056	807	1013	816	923	1201	1494
gene_0057	216	255	193	181	235	295
gene_0058	255	290	215	150	174	218
gene_0059	346	441	342	299	351	450
gene_0060	2676	3530	2655	672	841	1248
gene_0061	212	313	203	206	223	305
gene_0062	134	211	138	173	182	247
gene_0063	211	226	157	176	192	227
gene_0064	160	171	111	307	405	556
gene_0065	733	986	693	257	272	344
gene_0067	2706	3169	2223	11118	17030	20502
gene_0068	6247	8823	7030	2641	3061	4088
gene_0070	307	414	287	275	335	411
gene_0071	534	753	502	432	556	698
gene_0072	538	701	524	250	320	348
gene_0073	1079	1470	996	521	582	799
gene_0074	330	419	300	161	180	265
gene_0075	616	801	662	563	674	865
gene_0076	209	273	168	137	159	187
gene_0077	21	32	21	12	11	9
gene_0078	0	0	0	0	1	0
gene_0080	757	1124	811	524	641	730
gene_0081	2433	3614	2659	775	801	952
gene_0082	152	217	159	134	115	150
gene_0083	133	219	133	119	161	215
gene_0084	22	16	11	43	64	66
gene_0085	46	52	42	36	51	49
gene_0088	284	332	223	296	362	445
gene_0089	107	123	99	25	20	40
gene_0090	21	27	18	4	4	10
gene_0091	28	30	29	25	35	33
gene_0092	57	92	51	33	52	54
gene_0093	153	205	163	1078	1040	1230
gene_0094	0	0	2	3	0	1
gene_0095	495	796	535	425	534	659
gene_0096	25	38	23	35	37	48
gene_0098	2	3	3	2	1	2
gene_0099	4	10	6	22	23	29
gene_0100	9	22	24	32	32	49
gene_0101	45	58	36	34	42	46
gene_0102	357	444	315	371	427	583
gene_0103	0	0	1	0	0	0
gene_0104	8	12	9	12	12	20
gene_0105	0	0	0	0	0	1
gene_0107	324	433	304	254	320	364
gene_0108	233	299	225	269	284	368
gene_0109	637	924	660	687	794	934
gene_0110	320	454	351	249	310	379
gene_0111	291	386	279	280	346	433
gene_0112	369	539	384	347	420	544
gene_0113	434	626	448	583	800	870
gene_0114	13	20	7	13	17	17
gene_0115	125	179	108	124	94	128
gene_0116	0	0	0	0	0	0
gene_0118	4002	4838	3592	5689	6688	8287
gene_0119	1180	1368	936	401	437	518
gene_0120	246	324	220	123	140	185
gene_0121	305	370	265	207	228	281
gene_0122	223	255	207	197	230	375
gene_0123	8965	12360	8766	2530	3035	4081
gene_0124	73	96	57	68	87	100
gene_0125	752	1139	829	434	515	648
gene_0126	384	440	311	241	289	387
gene_0127	182	247	191	113	119	133
gene_0128	465	619	448	389	536	653
gene_0129	2779	3961	2779	641	727	1080
gene_0130	189	225	176	142	203	302
gene_0131	689	998	681	359	382	519
gene_0132	210	311	234	219	313	321
gene_0133	348	508	370	176	226	294
gene_0134	257	363	256	94	104	118
gene_0135	195	224	177	164	203	238
gene_0136	1068	1491	1020	605	614	772
gene_0137	97	85	54	323	427	572
gene_0138	4408	6295	4713	2102	2406	3229
gene_0139	237	274	208	5595	13412	17176
gene_0140	91	117	78	79	86	117
gene_0142	5046	6886	4955	1659	1938	2628
gene_0143	2	0	3	0	1	1
gene_0144	117	174	109	73	73	108
gene_0145	41	47	37	27	26	30
gene_0146	212	331	190	135	130	205
gene_0147	279	388	271	127	148	223
gene_0148	392	565	396	658	951	1002
gene_0149	322	384	276	360	417	505
gene_0150	267	305	214	1135	1479	1753
gene_0151	319	395	290	218	246	265
gene_0152	586	790	559	244	250	329
gene_0153	205	249	187	166	214	250
gene_0154	254	274	188	203	219	312
gene_0155	95	100	79	112	106	167
gene_0156	926	1276	1022	748	904	1183
gene_0157	359	463	310	169	156	231
gene_0158	1234	1613	1205	781	951	1195
gene_0159	329	408	277	180	168	285
gene_0160	302	351	272	213	244	327
gene_0161	484	729	499	283	323	402
gene_0162	614	850	652	379	410	530
gene_0163	469	625	446	485	571	803
gene_0164	42	46	33	502	640	785
gene_0165	19	22	10	104	121	171
gene_0166	1533	1967	1386	1363	1622	1867
gene_0167	295	394	302	246	253	361
gene_0168	2640	3206	2499	3837	4621	5566
gene_0169	4	4	1	1	2	0
gene_0170	88	85	56	580	680	788
gene_0171	533	902	700	554	488	632
gene_0172	802	1104	837	746	828	1073
gene_0173	717	1009	601	309	354	400
gene_0174	43	50	32	101	134	166
gene_0175	1647	2359	1652	427	564	749
gene_0176	412	458	365	325	364	545
gene_0177	312	422	309	258	316	351
gene_0178	454	682	472	290	351	476
gene_0179	280	394	247	207	248	261
gene_0180	306	406	287	286	306	376
gene_0181	283	294	234	475	558	710
gene_0182	548	746	548	332	324	419
gene_0183	94	149	92	43	48	65
gene_0184	5407	6689	4740	4707	5572	7391
gene_0185	78	118	71	187	202	242
gene_0186	122	188	115	129	167	241
gene_0187	470	588	375	139	186	255
gene_0188	6732	9184	7092	2262	2982	3725
gene_0189	343	428	258	202	229	341
gene_0190	108	131	98	78	88	127
gene_0191	837	1287	947	427	495	584
gene_0192	308	531	367	266	368	468
gene_0193	2187	2934	2234	1444	1701	2161
gene_0194	185	194	132	125	138	199
gene_0195	380	582	418	260	246	370
gene_0196	132	158	114	154	221	258
gene_0197	295	398	191	144	140	230
gene_0198	1549	2181	1412	792	934	1042
gene_0199	336	369	301	250	203	245
gene_0200	683	755	573	2421	2736	3539
gene_0203	318	435	322	167	222	269
gene_0204	56	77	59	44	31	59
gene_0205	780	1065	740	428	521	619
gene_0206	162	225	144	74	102	131
gene_0207	401	545	391	279	308	381
gene_0208	2	1	0	2	2	0
gene_0209	294	433	345	196	258	318
gene_0210	1147	1622	1075	1029	1232	1427
gene_0211	306	394	276	205	223	366
gene_0212	175	268	174	170	212	240
gene_0213	27	20	17	7	6	8
gene_0214	0	0	0	0	0	0
gene_0216	1284	1909	1342	549	707	806
gene_0217	3005	3990	2568	1335	1289	1703
gene_0218	4065	4871	3269	1965	1994	2578
gene_0219	451	600	386	701	858	1125
gene_0220	159	178	123	368	474	606
gene_0221	291	404	252	104	142	201
gene_0222	456	555	401	230	317	325
gene_0223	272	289	198	126	149	208
gene_0224	165	164	111	195	206	251
gene_0225	225	246	175	422	577	813
gene_0226	215	302	181	124	179	191
gene_0227	199	282	211	235	317	382
gene_0228	3739	4299	2930	2799	3089	4050
gene_0229	4221	5040	3407	3102	3285	4238
gene_0230	4071	6160	4450	2619	2937	3729
gene_0231	5	6	6	2	2	4
gene_0232	0	0	0	0	0	0
gene_0233	39	59	37	40	43	48
gene_0235	326	378	263	250	312	398
gene_0236	967	1487	966	679	794	1066
gene_0237	287	396	282	343	349	513
gene_0238	730	1164	821	434	492	584
gene_0239	15	17	15	14	29	31
gene_0240	65	63	58	72	86	102
gene_0241	43	51	61	49	67	81
gene_0242	392	537	398	296	367	392
gene_0243	201	260	172	113	167	235
gene_0244	1128	1505	992	628	762	872
gene_0245	108	160	98	169	207	273
gene_0246	3438	5023	3736	1854	2806	3336
gene_0247	156	194	122	1843	3058	3874
gene_0248	3	1	7	4	2	4
gene_0249	347	491	313	229	246	350
gene_0250	1166	1596	1162	676	751	883
gene_0251	221	328	235	141	163	169
gene_0252	4750	6918	5257	1455	1686	2106
gene_0253	8	17	12	6	12	17
gene_0254	122	131	105	220	287	323
gene_0255	742	884	666	301	391	531
gene_0256	722	973	673	594	723	892
gene_0259	1279	1630	1102	959	1047	1278
gene_0260	241	293	197	159	212	297
gene_0261	638	863	603	438	486	563
gene_0262	1593	1983	1429	2030	2183	2832
gene_0263	1	2	4	2	7	12
gene_0264	625	798	532	225	269	335
gene_0265	376	534	345	122	157	214
gene_0266	376	475	354	478	576	761
gene_0267	354	503	316	220	256	340
gene_0269	78	87	70	156	179	201
gene_0270	93	90	61	799	958	1258
gene_0271	32	31	19	112	196	189
gene_0272	4550	6340	4813	1300	1484	1927
gene_0273	733	1019	783	512	646	816
gene_0274	33	20	17	238	185	166
gene_0275	383	482	337	299	306	401
gene_0276	192	225	139	455	570	703
gene_0277	253	189	137	3658	7799	8848
gene_0278	341	515	368	221	236	311
gene_0280	295	264	189	596	839	1140
gene_0282	132	45	30	66	49	89
gene_0283	252	294	255	301	364	506
gene_0284	455	688	472	485	575	684
gene_0285	592	779	427	303	373	529
gene_0286	535	715	526	541	641	806
gene_0287	296	407	270	228	222	239
gene_0288	269	364	279	124	183	224
gene_0289	225	291	219	252	383	458
gene_0290	188	252	176	156	200	247
gene_0291	150	214	169	123	132	190
gene_0292	178	198	147	179	237	307
gene_0293	129	99	90	8493	10604	12041
gene_0294	216	211	158	1296	1664	2209
gene_0295	73	86	68	90	67	86
gene_0296	211	263	187	127	149	196
gene_0297	370	429	282	538	664	888
gene_0298	162	169	103	20399	43945	56362
gene_0299	1	1	1	3	2	8
gene_0300	810	1088	810	530	582	778
gene_0301	706	1114	752	354	426	521
gene_0302	14	21	5	26	54	57
gene_0303	225	271	216	179	194	230
gene_0304	6789	9336	6447	3434	3958	4561
gene_0305	2248	3376	2545	1062	1228	1627
gene_0306	602	902	591	463	572	679
gene_0307	610	899	632	504	662	825
gene_0310	1417	1876	1348	524	674	889
gene_0311	400	480	358	345	329	384
gene_0312	2257	3037	2346	598	639	913
gene_0313	5096	7019	5346	1859	2324	3060
gene_0314	49	71	58	5	2	6
gene_0315	675	534	329	2792	4148	5006
gene_0316	1304	1852	1220	793	1078	1244
gene_0317	298	421	298	197	226	269
gene_0318	571	767	581	406	439	556
gene_0319	191	291	189	250	356	416
gene_0320	10	6	6	4	6	9
gene_0321	141	153	108	54	73	87
gene_0322	62	65	60	39	65	91
gene_0323	15	21	17	15	25	31
gene_0324	359	491	387	413	542	625
gene_0325	211	284	195	189	245	334
gene_0326	426	679	379	168	150	242
gene_0327	208	330	242	213	266	303
gene_0328	158	205	137	205	268	361
gene_0329	738	954	626	974	1410	1862
gene_0330	342	518	363	279	323	409
gene_0331	332	394	294	277	323	414
gene_0332	644	838	560	129	154	214
gene_0333	201	240	148	159	161	273
gene_0334	3861	5563	3587	1217	1323	1911
gene_0335	170	199	127	105	93	140
gene_0336	235	332	211	289	363	434
gene_0337	884	1155	824	781	980	1291
gene_0338	434	647	410	363	361	459
gene_0339	373	533	343	379	520	679
gene_0340	190	198	134	130	170	259
gene_0341	926	1253	988	724	790	995
gene_0342	190	242	164	164	213	276
gene_0343	3808	5857	4531	1749	2063	2723
gene_0344	94	106	80	2089	3462	3862
gene_0345	10621	15596	11360	7897	11349	14865
gene_0346	174	176	129	237	295	438
gene_0347	170	212	139	155	194	264
gene_0348	3380	4879	3457	1621	1847	2438
gene_0349	642	783	503	337	351	518
gene_0350	289	345	262	222	228	302
gene_0351	352	432	306	240	301	347
gene_0352	904	974	705	1626	2018	2517
gene_0353	468	465	327	238	228	337
gene_0354	2339	3356	2554	1479	1839	2278
gene_0355	48	57	36	73	97	111
gene_0356	270	312	210	194	231	273
gene_0357	411	554	414	139	185	200
gene_0358	151	189	132	77	87	122
gene_0359	114	119	59	271	310	394
gene_0360	540	808	553	324	300	335
gene_0361	215	282	193	153	163	248
gene_0362	210	311	219	248	249	334
gene_0363	211	242	166	229	314	382
gene_0364	110	109	102	137	167	202
gene_0365	303	409	246	560	757	859
gene_0366	838	1216	834	906	1208	1338
gene_0367	103	151	105	67	73	92
gene_0368	622	939	750	244	286	378
gene_0369	2271	3158	2345	1043	1387	1632
gene_0370	3	1	1	2	2	2
gene_0371	373	468	344	230	239	324
gene_0372	789	883	655	482	538	759
gene_0373	190	276	184	330	460	573
gene_0374	50	58	52	78	89	136
gene_0375	654	772	540	1905	2361	2947
gene_0376	216	226	165	278	338	433
gene_0377	653	851	583	440	563	706
gene_0378	102	154	115	92	99	121
gene_0379	141	193	126	115	120	154
gene_0380	826	1142	820	327	400	514
gene_0381	380	522	371	146	213	266
gene_0382	194	209	144	92	135	155
gene_0383	136	160	117	642	1190	1534
gene_0384	959	1454	1062	637	834	946
gene_0385	1118	1569	1025	446	532	692
gene_0386	320	332	316	254	329	420
gene_0387	206	235	172	81	98	129
gene_0388	3730	4925	3458	2107	2273	2834
gene_0389	591	687	438	224	240	355
gene_0390	246	350	218	143	194	207
gene_0391	549	742	470	282	296	444
gene_0392	192	217	157	133	188	209
gene_0393	401	577	454	324	351	509
gene_0394	78	99	74	120	142	186
gene_0395	148	189	138	157	228	254
gene_0396	172	158	104	1920	3246	4228
gene_0397	400	566	419	456	549	693
gene_0398	482	691	468	281	300	397
gene_0399	698	922	663	373	475	608
gene_0400	582	682	519	555	599	880
gene_0401	255	350	236	74	98	100
gene_0402	192	249	199	124	140	183
gene_0403	1106	1542	1111	626	750	925
gene_0404	404	606	454	426	591	626
gene_0405	25	35	30	25	20	25
gene_0406	6029	8850	6283	1837	2310	3279
gene_0407	48	62	46	48	45	84
gene_0408	8	11	3	3	5	4
gene_0409	124	110	88	113	100	206
gene_0410	60	69	55	43	67	90
gene_0411	274	317	227	212	282	335
gene_0412	51	58	37	39	53	71
gene_0413	988	1369	1050	346	402	528
gene_0414	91	109	78	85	162	168
gene_0415	8940	12463	9534	2096	2580	3558
gene_0416	6288	8716	6422	1548	1949	2726
gene_0417	396	485	357	150	219	274
gene_0418	111	164	146	122	164	197
gene_0419	66	86	60	63	78	93
gene_0420	161	220	161	159	170	208
gene_0421	6866	9314	7023	3094	4551	5721
gene_0422	10	7	9	3	8	6
gene_0423	12	16	8	6	6	7
gene_0424	177	224	181	156	146	183
gene_0425	617	865	649	377	485	583
gene_0426	992	1301	799	713	921	1231
gene_0427	353	448	335	350	367	465
gene_0428	2	0	0	3	4	6
gene_0429	116	183	93	98	95	156
gene_0430	16	21	7	68	70	86
gene_0431	490	692	546	518	611	723
gene_0432	126	117	70	324	504	642
gene_0433	188	239	172	239	340	344
gene_0434	720	1039	669	299	378	473
gene_0435	601	868	486	540	695	964
gene_0436	464	631	444	639	860	1116
gene_0437	39	51	22	70	67	84
gene_0440	212	286	167	86	83	116
gene_0441	161	165	110	94	114	156
gene_0442	452	625	445	941	1186	1366
gene_0443	378	492	374	106	146	208
gene_0444	202	227	144	959	1187	1465
gene_0445	282	388	291	241	281	360
gene_0446	327	461	287	317	388	463
gene_0447	81	126	63	81	97	110
gene_0448	2147	3284	2438	2235	2670	3136
gene_0449	4	5	4	1	1	2
