"Species","Tissue","Cell Type","Cancer","Cell Marker","Source","Supported Sources","Details"
"Human","Peripheral blood","Cancer cell","Melanoma","MITF, MLANA, PMEL, TYR","Single-cell sequencing","1","more details"
"Human","Peripheral blood","B cell","Normal","BLNK, CD19, CD79A, CD79B, MS4A1","Single-cell sequencing","1","more details"
"Human","Peripheral blood","B cell","Normal","CD37, CD79A","Single-cell sequencing","1","more details"
"Human","Peripheral blood","CD14+CD16+ monocyte","Normal","CD14, CD16, CD68, S100A12","Single-cell sequencing","1","more details"
"Human","Peripheral blood","CD4+ memory T cell","Normal","CCR7, CD27, IL7R","Single-cell sequencing","1","more details"
"Human","Peripheral blood","CD4+ T cell","Normal","CD4, CTLA4, FOXP3, IL2RA","Single-cell sequencing","1","more details"
"Human","Peripheral blood","CD8+ T cell","Normal","CD4, CD8A, CD8B","Single-cell sequencing","1","more details"
"Human","Peripheral blood","CD8+ T cell","Normal","CD8A, CD8B, GZMK","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Dendritic cell","Normal","CLEC4C, IL3RA, NRP1","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Effector CD8+ memory T (Tem) cell","Normal","ADAM8, ADGRG1, ADRB2, AGTPBP1, AHNAK, ARHGAP25, ARL4C, BIN2, C12orf75, C1orf21, CAPN2, CASP8, CD300A, CEP78, CX3CR1, DSTN, EFHD2, EMP3, FCGR3A, FCGR3B, FCRL6, FGFBP2, FGR, FLNA, FUT11, GAB3, GK5, GLUL, GNLY, GZMB, GZMH, ITGAM, KCNAB2, KLRD1, KLRF1, LGALS1, LILRB1, LITAF, LLGL2, LPCAT1, LUZP6, MBP, MTSS1, MYO1F, MYO1G, OSBPL5, PATL2, PIK3R5, PLEK, PLEKHG3, PRKCB, PRSS23, PXN, RAP1B, RAP1GAP2, RAP2B, RASSF1, RGS19, RNF166, S1PR5, SAMD3, SH3BP5, SH3BP5-AS1, SLC2A1, SLC9A3R1, SLCO4C1, SPON2, SRPK2, STK10, SYNE1, TAGLN2, TBX21, TGFBR3, TM4SF19, TM4SF19-TCTEX1D2, TPST2, TTC16, TTC38, USP28, VCL, VEZF1, WDR37, ZEB2, ZEB2-AS1, ZNF600","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Endothelial cell","Normal","CDH5, SELE, VWF","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Fibroblast","Normal","COL1A1, COL3A1, FAP, THY1","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Macrophage","Normal","CD14, CD163, CD68, CSF1R, FCGR3A","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Megakaryocyte progenitor cell","Normal","PF4, PLA2G12A, PPBP","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Monocyte derived dendritic cell","Normal","CD1C, CST3, FCER1A","Single-cell sequencing","1","more details"
"Human","Peripheral blood","Naive CD4+ T cell","Normal","ABLIM1, ACTN1, C1orf162, C6orf48, CCR7, CD55, EEF1B2, EIF3L, FAM117B, FHIT, GIMAP5, GIMAP8, GPR183, IL7R, LDLRAP1, LRRC75A-AS1, LRRN3, MAL, MYC, NELL2, NOSIP, PRKCA, RPS5, RSL1D1, SATB1, SERINC5, SLC40A1, SVIL, TCF7, TESPA1, TMEM204, TRABD2A, TSHZ2, TXK","Single-cell sequencing","1","more details"
