ENSMUST00000070533.5	Xkr4-201	ENSMUSG00000051951
ENSMUST00000208660.2	Rp1-202	ENSMUSG00000025900
ENSMUST00000027032.6	Rp1-201	ENSMUSG00000025900
ENSMUST00000027035.10	Sox17-201	ENSMUSG00000025902
ENSMUST00000195555.2	Sox17-208	ENSMUSG00000025902
ENSMUST00000192650.6	Sox17-206	ENSMUSG00000025902
ENSMUST00000116652.8	Sox17-202	ENSMUSG00000025902
ENSMUST00000191647.2	Sox17-203	ENSMUSG00000025902
ENSMUST00000191939.2	Sox17-204	ENSMUSG00000025902
ENSMUST00000192913.2	Sox17-207	ENSMUSG00000025902
ENSMUST00000130201.8	Mrpl15-203	ENSMUSG00000033845
ENSMUST00000156816.7	Mrpl15-206	ENSMUSG00000033845
ENSMUST00000045689.14	Mrpl15-201	ENSMUSG00000033845
ENSMUST00000146665.3	Mrpl15-205	ENSMUSG00000033845
ENSMUST00000134384.8	Lypla1-205	ENSMUSG00000025903
ENSMUST00000027036.11	Lypla1-201	ENSMUSG00000025903
ENSMUST00000150971.8	Lypla1-208	ENSMUSG00000025903
ENSMUST00000119612.9	Lypla1-203	ENSMUSG00000025903
ENSMUST00000137887.8	Lypla1-206	ENSMUSG00000025903
ENSMUST00000115529.8	Lypla1-202	ENSMUSG00000025903
ENSMUST00000131119.2	Lypla1-204	ENSMUSG00000025903
ENSMUST00000155020.2	Gm37988-201	ENSMUSG00000104217
ENSMUST00000081551.14	Tcea1-201	ENSMUSG00000033813
ENSMUST00000165720.3	Tcea1-202	ENSMUSG00000033813
ENSMUST00000002533.15	Rgs20-201	ENSMUSG00000002459
ENSMUST00000118000.8	Rgs20-202	ENSMUSG00000002459
ENSMUST00000119256.8	Rgs20-203	ENSMUSG00000002459
ENSMUST00000170566.2	Rgs20-207	ENSMUSG00000002459
ENSMUST00000147158.2	Rgs20-205	ENSMUSG00000002459
ENSMUST00000192847.6	Atp6v1h-205	ENSMUSG00000033793
ENSMUST00000044369.13	Atp6v1h-201	ENSMUSG00000033793
ENSMUST00000194676.6	Atp6v1h-207	ENSMUSG00000033793
ENSMUST00000192029.6	Atp6v1h-202	ENSMUSG00000033793
ENSMUST00000192698.3	Atp6v1h-204	ENSMUSG00000033793
ENSMUST00000160777.8	Oprk1-204	ENSMUSG00000025905
ENSMUST00000239100.2	Oprk1-206	ENSMUSG00000025905
ENSMUST00000027038.11	Oprk1-201	ENSMUSG00000025905
ENSMUST00000160339.2	Oprk1-203	ENSMUSG00000025905
ENSMUST00000044180.5	Npbwr1-201	ENSMUSG00000033774
ENSMUST00000159906.8	Rb1cc1-208	ENSMUSG00000025907
ENSMUST00000160871.8	Rb1cc1-210	ENSMUSG00000025907
ENSMUST00000027040.13	Rb1cc1-201	ENSMUSG00000025907
ENSMUST00000160062.8	Rb1cc1-209	ENSMUSG00000025907
ENSMUST00000162795.8	Rb1cc1-216	ENSMUSG00000025907
ENSMUST00000161327.8	Rb1cc1-212	ENSMUSG00000025907
ENSMUST00000162257.8	Rb1cc1-214	ENSMUSG00000025907
ENSMUST00000159530.2	Rb1cc1-204	ENSMUSG00000025907
ENSMUST00000133144.4	Alkal1-201	ENSMUSG00000087247
ENSMUST00000140079.8	St18-208	ENSMUSG00000033740
ENSMUST00000131494.8	St18-204	ENSMUSG00000033740
ENSMUST00000043578.13	St18-201	ENSMUSG00000033740
ENSMUST00000139756.8	St18-206	ENSMUSG00000033740
ENSMUST00000131467.8	St18-203	ENSMUSG00000033740
ENSMUST00000150761.8	St18-210	ENSMUSG00000033740
ENSMUST00000151281.8	St18-212	ENSMUSG00000033740
ENSMUST00000139838.8	St18-207	ENSMUSG00000033740
ENSMUST00000163727.4	St18-213	ENSMUSG00000033740
ENSMUST00000132207.2	St18-205	ENSMUSG00000033740
ENSMUST00000130338.2	St18-202	ENSMUSG00000033740
ENSMUST00000061280.17	Pcmtd1-201	ENSMUSG00000051285
ENSMUST00000182114.8	Pcmtd1-202	ENSMUSG00000051285
ENSMUST00000182675.8	Pcmtd1-205	ENSMUSG00000051285
ENSMUST00000132064.8	Sntg1-204	ENSMUSG00000025909
ENSMUST00000191683.6	Sntg1-210	ENSMUSG00000025909
ENSMUST00000140295.8	Sntg1-207	ENSMUSG00000025909
ENSMUST00000140302.8	Sntg1-208	ENSMUSG00000025909
ENSMUST00000115488.3	Sntg1-202	ENSMUSG00000025909
ENSMUST00000144593.8	Sntg1-209	ENSMUSG00000025909
ENSMUST00000072079.9	Rrs1-201	ENSMUSG00000061024
ENSMUST00000144177.8	Adhfe1-203	ENSMUSG00000025911
ENSMUST00000027044.15	Adhfe1-201	ENSMUSG00000025911
ENSMUST00000130927.8	Adhfe1-202	ENSMUSG00000025911
ENSMUST00000186467.2	Adhfe1-204	ENSMUSG00000025911
ENSMUST00000190654.2	Adhfe1-205	ENSMUSG00000025911
ENSMUST00000088666.4	Vxn-201	ENSMUSG00000067879
ENSMUST00000088658.11	Mybl1-201	ENSMUSG00000025912
ENSMUST00000115468.9	Mybl1-202	ENSMUSG00000025912
ENSMUST00000188212.2	Mybl1-205	ENSMUSG00000025912
ENSMUST00000057438.7	Vcpip1-201	ENSMUSG00000045210
ENSMUST00000166384.8	Sgk3-202	ENSMUSG00000025915
ENSMUST00000188782.7	Sgk3-209	ENSMUSG00000025915
ENSMUST00000168907.8	Sgk3-203	ENSMUSG00000025915
ENSMUST00000188738.7	Sgk3-208	ENSMUSG00000025915
ENSMUST00000188298.7	Sgk3-205	ENSMUSG00000025915
ENSMUST00000171265.8	Sgk3-204	ENSMUSG00000025915
ENSMUST00000097826.6	Sgk3-201	ENSMUSG00000025915
ENSMUST00000052843.12	Mcmdc2-201	ENSMUSG00000046101
ENSMUST00000171802.8	Mcmdc2-205	ENSMUSG00000046101
ENSMUST00000125294.9	Mcmdc2-203	ENSMUSG00000046101
ENSMUST00000140948.9	Mcmdc2-204	ENSMUSG00000046101
ENSMUST00000118098.3	Mcmdc2-202	ENSMUSG00000046101
ENSMUST00000183059.2	Mcmdc2-206	ENSMUSG00000046101
ENSMUST00000185184.2	Tcf24-202	ENSMUSG00000099032
ENSMUST00000097824.3	Tcf24-201	ENSMUSG00000099032
ENSMUST00000147000.9	Ppp1r42-204	ENSMUSG00000025916
ENSMUST00000124874.8	Ppp1r42-202	ENSMUSG00000025916
ENSMUST00000027049.10	Ppp1r42-201	ENSMUSG00000025916
ENSMUST00000130102.8	Ppp1r42-203	ENSMUSG00000025916
ENSMUST00000176398.8	Ppp1r42-206	ENSMUSG00000025916
ENSMUST00000027050.10	Cops5-201	ENSMUSG00000025917
ENSMUST00000190155.7	Cops5-206	ENSMUSG00000025917
ENSMUST00000186528.7	Cops5-204	ENSMUSG00000025917
ENSMUST00000188619.2	Cops5-205	ENSMUSG00000025917
ENSMUST00000191012.7	Cspp1-225	ENSMUSG00000056763
ENSMUST00000071087.12	Cspp1-201	ENSMUSG00000056763
ENSMUST00000117415.8	Cspp1-202	ENSMUSG00000056763
ENSMUST00000118263.8	Cspp1-203	ENSMUSG00000056763
ENSMUST00000122156.8	Cspp1-205	ENSMUSG00000056763
ENSMUST00000119714.8	Cspp1-204	ENSMUSG00000056763
ENSMUST00000155974.8	Cspp1-215	ENSMUSG00000056763
ENSMUST00000186294.7	Cspp1-217	ENSMUSG00000056763
ENSMUST00000149214.3	Cspp1-213	ENSMUSG00000056763
ENSMUST00000188449.7	Cspp1-220	ENSMUSG00000056763
ENSMUST00000187226.7	Cspp1-218	ENSMUSG00000056763
ENSMUST00000088615.11	Arfgef1-201	ENSMUSG00000067851
ENSMUST00000131556.2	Arfgef1-203	ENSMUSG00000067851
ENSMUST00000153695.8	Cpa6-204	ENSMUSG00000042501
ENSMUST00000035577.7	Cpa6-201	ENSMUSG00000042501
ENSMUST00000027056.12	Prex2-201	ENSMUSG00000048960
ENSMUST00000188189.7	Prex2-205	ENSMUSG00000048960
ENSMUST00000187745.7	Prex2-203	ENSMUSG00000048960
ENSMUST00000189385.7	Prex2-206	ENSMUSG00000048960
ENSMUST00000188154.2	Prex2-204	ENSMUSG00000048960
ENSMUST00000171690.9	A830018L16Rik-208	ENSMUSG00000057715
ENSMUST00000048613.14	A830018L16Rik-201	ENSMUSG00000057715
ENSMUST00000141512.8	A830018L16Rik-205	ENSMUSG00000057715
ENSMUST00000135014.8	A830018L16Rik-202	ENSMUSG00000057715
ENSMUST00000137824.8	A830018L16Rik-203	ENSMUSG00000057715
ENSMUST00000179089.8	A830018L16Rik-209	ENSMUSG00000057715
ENSMUST00000141339.3	A830018L16Rik-204	ENSMUSG00000057715
ENSMUST00000177608.8	Sulf1-202	ENSMUSG00000016918
ENSMUST00000180062.8	Sulf1-203	ENSMUSG00000016918
ENSMUST00000186051.7	Sulf1-205	ENSMUSG00000016918
ENSMUST00000088585.10	Sulf1-201	ENSMUSG00000016918
ENSMUST00000189541.7	Sulf1-210	ENSMUSG00000016918
ENSMUST00000186405.7	Sulf1-206	ENSMUSG00000016918
ENSMUST00000185780.2	Sulf1-204	ENSMUSG00000016918
ENSMUST00000188454.7	Slco5a1-207	ENSMUSG00000025938
ENSMUST00000115403.9	Slco5a1-202	ENSMUSG00000025938
ENSMUST00000115402.8	Slco5a1-201	ENSMUSG00000025938
ENSMUST00000136197.8	Slco5a1-204	ENSMUSG00000025938
ENSMUST00000146763.8	Slco5a1-205	ENSMUSG00000025938
ENSMUST00000147606.3	Slco5a1-206	ENSMUSG00000025938
ENSMUST00000047577.7	Prdm14-201	ENSMUSG00000042414
ENSMUST00000081713.11	Ncoa2-203	ENSMUSG00000005886
ENSMUST00000068304.13	Ncoa2-202	ENSMUSG00000005886
ENSMUST00000006037.13	Ncoa2-201	ENSMUSG00000005886
ENSMUST00000145280.2	Ncoa2-208	ENSMUSG00000005886
ENSMUST00000027068.11	Tram1-201	ENSMUSG00000025935
ENSMUST00000188377.2	Tram1-203	ENSMUSG00000025935
ENSMUST00000027071.7	Lactb2-201	ENSMUSG00000025937
