# Program:featureCounts v1.6.2; Command:"featureCounts" "-T" "8" "-p" "-t" "exon" "-g" "gene_id" "-a" "../reference/s288c_e.gff" "-o" "../featurecount/counts.txt" "SRR453566.sorted.bam" "SRR453567.sorted.bam" "SRR453568.sorted.bam" "SRR453569.sorted.bam" "SRR453570.sorted.bam" "SRR453571.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566.sorted.bam	SRR453567.sorted.bam	SRR453568.sorted.bam	SRR453569.sorted.bam	SRR453570.sorted.bam	SRR453571.sorted.bam
gene_0001	NC_001133.9	1807	2169	-	363	0	2	6	0	0	1
gene_0002	NC_001133.9	2480	2707	+	228	0	0	0	0	0	0
gene_0003	NC_001133.9	7235	9016	-	1782	0	0	0	0	0	0
gene_0004	NC_001133.9	11565	11951	-	387	0	0	0	0	0	0
gene_0005	NC_001133.9	12046	12426	+	381	2	8	10	6	7	18
gene_0006	NC_001133.9	13363	13743	-	381	0	0	0	0	0	0
gene_0007	NC_001133.9	21566	21850	+	285	0	0	0	0	0	0
gene_0008	NC_001133.9	22395	22685	-	291	0	0	0	0	0	0
gene_0009	NC_001133.9	24000	27968	-	3969	32	37	33	43	63	84
gene_0010	NC_001133.9	31567	32940	+	1374	65	82	59	738	922	1109
gene_0011	NC_001133.9	33448	34701	+	1254	119	115	89	619	876	1059
gene_0012	NC_001133.9	35155	36303	+	1149	1155	1761	1328	995	1041	1293
gene_0013	NC_001133.9	36509	37147	+	639	319	456	312	130	211	236
gene_0014	NC_001133.9	37464	38972	+	1509	282	426	272	176	171	209
gene_0015	NC_001133.9	39259	41901	+	2643	305	420	325	395	545	636
gene_0016	NC_001133.9	42177	42719	+	543	45	54	52	83	84	109
gene_0017	NC_001133.9	42881	45022	-	2142	121	134	94	9623	11392	13384
gene_0018	NC_001133.9	45899	48250	+	2352	1032	1113	750	887	943	1247
gene_0019	NC_001133.9	48564	51707	+	3144	309	411	269	254	319	407
gene_0020	NC_001133.9	51855	52595	-	741	395	452	335	420	632	715
gene_0021	NC_001133.9	52801	54789	-	1989	194	247	176	246	257	323
gene_0022	NC_001133.9	54989	56857	-	1869	136	198	134	121	145	175
gene_0023	NC_001133.9	57029	57385	-	357	148	192	127	141	163	183
gene_0024	NC_001133.9	57518	57850	+	333	100	176	105	170	186	289
gene_0025	NC_001133.9	57950	58462	-	513	1437	1823	1471	723	667	930
gene_0026	NC_001133.9	58695	61052	-	2358	386	555	409	325	364	462
gene_0027	NC_001133.9	61316	62563	+	1248	1548	2178	1512	725	721	1079
