ENSMUSG00000102693	4933401J01Rik	RIKEN cDNA 4933401J01 gene [Source:MGI Symbol%3BAcc:MGI:1918292]
ENSMUSG00000051951	Xkr4	X-linked Kx blood group related 4 [Source:MGI Symbol%3BAcc:MGI:3528744]
ENSMUSG00000103377	Gm37180	predicted gene%2C 37180 [Source:MGI Symbol%3BAcc:MGI:5610408]
ENSMUSG00000104017	Gm37363	predicted gene%2C 37363 [Source:MGI Symbol%3BAcc:MGI:5610591]
ENSMUSG00000103025	Gm37686	predicted gene%2C 37686 [Source:MGI Symbol%3BAcc:MGI:5610914]
ENSMUSG00000103201	Gm37329	predicted gene%2C 37329 [Source:MGI Symbol%3BAcc:MGI:5610557]
ENSMUSG00000103161	Gm38148	predicted gene%2C 38148 [Source:MGI Symbol%3BAcc:MGI:5611376]
ENSMUSG00000102348	Gm10568	predicted gene 10568 [Source:MGI Symbol%3BAcc:MGI:3642703]
ENSMUSG00000102592	Gm38385	predicted gene%2C 38385 [Source:MGI Symbol%3BAcc:MGI:5611613]
ENSMUSG00000025900	Rp1	retinitis pigmentosa 1 (human) [Source:MGI Symbol%3BAcc:MGI:1341105]
ENSMUSG00000104123	Gm37483	predicted gene%2C 37483 [Source:MGI Symbol%3BAcc:MGI:5610711]
ENSMUSG00000025902	Sox17	SRY (sex determining region Y)-box 17 [Source:MGI Symbol%3BAcc:MGI:107543]
ENSMUSG00000033845	Mrpl15	mitochondrial ribosomal protein L15 [Source:MGI Symbol%3BAcc:MGI:1351639]
ENSMUSG00000102275	Gm37144	predicted gene%2C 37144 [Source:MGI Symbol%3BAcc:MGI:5610372]
ENSMUSG00000025903	Lypla1	lysophospholipase 1 [Source:MGI Symbol%3BAcc:MGI:1344588]
ENSMUSG00000104217	Gm37988	predicted gene%2C 37988 [Source:MGI Symbol%3BAcc:MGI:5611216]
ENSMUSG00000033813	Tcea1	transcription elongation factor A (SII) 1 [Source:MGI Symbol%3BAcc:MGI:1196624]
ENSMUSG00000103280	Gm37277	predicted gene%2C 37277 [Source:MGI Symbol%3BAcc:MGI:5610505]
ENSMUSG00000002459	Rgs20	regulator of G-protein signaling 20 [Source:MGI Symbol%3BAcc:MGI:1929866]
ENSMUSG00000102653	Gm37079	predicted gene%2C 37079 [Source:MGI Symbol%3BAcc:MGI:5610307]
ENSMUSG00000033793	Atp6v1h	ATPase%2C H+ transporting%2C lysosomal V1 subunit H [Source:MGI Symbol%3BAcc:MGI:1914864]
ENSMUSG00000104046	Gm37567	predicted gene%2C 37567 [Source:MGI Symbol%3BAcc:MGI:5610795]
ENSMUSG00000102907	Gm38264	predicted gene%2C 38264 [Source:MGI Symbol%3BAcc:MGI:5611492]
ENSMUSG00000025905	Oprk1	opioid receptor%2C kappa 1 [Source:MGI Symbol%3BAcc:MGI:97439]
ENSMUSG00000103519	Gm37429	predicted gene%2C 37429 [Source:MGI Symbol%3BAcc:MGI:5610657]
ENSMUSG00000033774	Npbwr1	neuropeptides B/W receptor 1 [Source:MGI Symbol%3BAcc:MGI:891989]
ENSMUSG00000025907	Rb1cc1	RB1-inducible coiled-coil 1 [Source:MGI Symbol%3BAcc:MGI:1341850]
ENSMUSG00000087247	Alkal1	ALK and LTK ligand 1 [Source:MGI Symbol%3BAcc:MGI:3645495]
ENSMUSG00000033740	St18	suppression of tumorigenicity 18 [Source:MGI Symbol%3BAcc:MGI:2446700]
ENSMUSG00000103329	Gm42492	predicted gene 42492 [Source:MGI Symbol%3BAcc:MGI:5662629]
ENSMUSG00000051285	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1 [Source:MGI Symbol%3BAcc:MGI:2441773]
ENSMUSG00000103509	Gm38372	predicted gene%2C 38372 [Source:MGI Symbol%3BAcc:MGI:5611600]
ENSMUSG00000025909	Sntg1	syntrophin%2C gamma 1 [Source:MGI Symbol%3BAcc:MGI:1918346]
ENSMUSG00000102647	Gm38024	predicted gene%2C 38024 [Source:MGI Symbol%3BAcc:MGI:5611252]
ENSMUSG00000102253	Gm38259	predicted gene%2C 38259 [Source:MGI Symbol%3BAcc:MGI:5611487]
ENSMUSG00000103884	Gm37005	predicted gene%2C 37005 [Source:MGI Symbol%3BAcc:MGI:5610233]
ENSMUSG00000102316	Gm37629	predicted gene%2C 37629 [Source:MGI Symbol%3BAcc:MGI:5610857]
ENSMUSG00000102871	Gm37143	predicted gene%2C 37143 [Source:MGI Symbol%3BAcc:MGI:5610371]
ENSMUSG00000061024	Rrs1	ribosome biogenesis regulator 1 [Source:MGI Symbol%3BAcc:MGI:1929721]
ENSMUSG00000025911	Adhfe1	alcohol dehydrogenase%2C iron containing%2C 1 [Source:MGI Symbol%3BAcc:MGI:1923437]
ENSMUSG00000067879	Vxn	vexin [Source:MGI Symbol%3BAcc:MGI:1924232]
ENSMUSG00000025912	Mybl1	myeloblastosis oncogene-like 1 [Source:MGI Symbol%3BAcc:MGI:99925]
ENSMUSG00000045210	Vcpip1	valosin containing protein (p97)/p47 complex interacting protein 1 [Source:MGI Symbol%3BAcc:MGI:1917925]
ENSMUSG00000025915	Sgk3	serum/glucocorticoid regulated kinase 3 [Source:MGI Symbol%3BAcc:MGI:2182368]
ENSMUSG00000046101	Mcmdc2	minichromosome maintenance domain containing 2 [Source:MGI Symbol%3BAcc:MGI:3045334]
ENSMUSG00000099032	Tcf24	transcription factor 24 [Source:MGI Symbol%3BAcc:MGI:3780500]
ENSMUSG00000104025	E330040D14Rik	RIKEN cDNA E330040D14 gene [Source:MGI Symbol%3BAcc:MGI:3649088]
ENSMUSG00000025916	Ppp1r42	protein phosphatase 1%2C regulatory subunit 42 [Source:MGI Symbol%3BAcc:MGI:1921138]
